Impuesto específico,Año,Valor,Impuesto,Agregación,Impuesto_alt,Índice,Valor (Constantes - 18)
Riqueza,1983,0.0,Riqueza,Actividad interna,Otros,1.65,0.0
Impuesto al consumo,1983,0.0,Impuesto al consumo,Actividad interna,Otros,1.65,0.0
Impuesto gasolina y ACPM,1983,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,1.65,0.0
Impuesto al carbono,1983,0.0,Impuesto al carbono,Actividad interna,Otros,1.65,0.0
Declaraciones CREE,1983,0.0,CREE,Actividad interna,Otros,1.65,0.0
Retención CREE,1983,0.0,CREE,Actividad interna,Otros,1.65,0.0
Impuesto unificado RST (Simple),1983,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,1.65,0.0
Impuesto de normalización tributaria,1983,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,1.65,0.0
Consumo bienes inmuebles,1983,0.0,Consumo bienes inmuebles,Actividad interna,Otros,1.65,0.0
Productos plásticos de un solo uso,1983,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,1.65,0.0
Impuestos saludables - Bebidas azucaradas,1983,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,1.65,0.0
Impuestos saludables - Comestibles ultraprocesados,1983,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,1.65,0.0
IVA_ext,1983,21357.0,IVA,Actividad externa,IVA,1.65,1294363.6363636362
Arancel,1983,42845.0,Arancel,Actividad externa,Otros,1.65,2596666.6666666665
Por clasificar,1983,0.0,Por clasificar,Por clasificar,Otros,1.65,0.0
Renta cuotas,1984,81860.0,Renta,Actividad interna,Renta,1.95,4197948.717948718
Retención en la fuente a título de renta,1984,38979.0,Renta,Actividad interna,Renta,1.95,1998923.076923077
Declaraciones IVA,1984,62269.0,IVA,Actividad interna,IVA,1.95,3193282.0512820515
Retención en la fuente a título de IVA,1984,0.0,IVA,Actividad interna,IVA,1.95,0.0
Timbre nacional,1984,11027.0,Timbre nacional,Actividad interna,Otros,1.95,565487.1794871795
G.M.F.,1984,0.0,G.M.F.,Actividad interna,Otros,1.95,0.0
Patrimonio,1984,0.0,Patrimonio,Actividad interna,Otros,1.95,0.0
Riqueza,1984,0.0,Riqueza,Actividad interna,Otros,1.95,0.0
Impuesto al consumo,1984,0.0,Impuesto al consumo,Actividad interna,Otros,1.95,0.0
Impuesto gasolina y ACPM,1984,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,1.95,0.0
Impuesto al carbono,1984,0.0,Impuesto al carbono,Actividad interna,Otros,1.95,0.0
Declaraciones CREE,1984,0.0,CREE,Actividad interna,Otros,1.95,0.0
Retención CREE,1984,0.0,CREE,Actividad interna,Otros,1.95,0.0
Impuesto unificado RST (Simple),1984,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,1.95,0.0
Impuesto de normalización tributaria,1984,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,1.95,0.0
Consumo bienes inmuebles,1984,0.0,Consumo bienes inmuebles,Actividad interna,Otros,1.95,0.0
Productos plásticos de un solo uso,1984,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,1.95,0.0
Impuestos saludables - Bebidas azucaradas,1984,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,1.95,0.0
Impuestos saludables - Comestibles ultraprocesados,1984,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,1.95,0.0
IVA_ext,1984,25827.0,IVA,Actividad externa,IVA,1.95,1324461.5384615385
Arancel,1984,46087.0,Arancel,Actividad externa,Otros,1.95,2363435.8974358975
Por clasificar,1984,0.0,Por clasificar,Por clasificar,Otros,1.95,0.0
Renta cuotas,1985,100567.0,Renta,Actividad interna,Renta,2.38,4225504.201680672
Retención en la fuente a título de renta,1985,61532.0,Renta,Actividad interna,Renta,2.38,2585378.1512605045
Declaraciones IVA,1985,94801.0,IVA,Actividad interna,IVA,2.38,3983235.294117647
Retención en la fuente a título de IVA,1985,0.0,IVA,Actividad interna,IVA,2.38,0.0
Timbre nacional,1985,19486.0,Timbre nacional,Actividad interna,Otros,2.38,818739.4957983193
G.M.F.,1985,0.0,G.M.F.,Actividad interna,Otros,2.38,0.0
Patrimonio,1985,0.0,Patrimonio,Actividad interna,Otros,2.38,0.0
Riqueza,1985,0.0,Riqueza,Actividad interna,Otros,2.38,0.0
Impuesto al consumo,1985,0.0,Impuesto al consumo,Actividad interna,Otros,2.38,0.0
Impuesto gasolina y ACPM,1985,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,2.38,0.0
Impuesto al carbono,1985,0.0,Impuesto al carbono,Actividad interna,Otros,2.38,0.0
Declaraciones CREE,1985,0.0,CREE,Actividad interna,Otros,2.38,0.0
Retención CREE,1985,0.0,CREE,Actividad interna,Otros,2.38,0.0
Impuesto unificado RST (Simple),1985,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,2.38,0.0
Impuesto de normalización tributaria,1985,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,2.38,0.0
Consumo bienes inmuebles,1985,0.0,Consumo bienes inmuebles,Actividad interna,Otros,2.38,0.0
Productos plásticos de un solo uso,1985,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,2.38,0.0
Impuestos saludables - Bebidas azucaradas,1985,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,2.38,0.0
Impuestos saludables - Comestibles ultraprocesados,1985,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,2.38,0.0
IVA_ext,1985,40758.0,IVA,Actividad externa,IVA,2.38,1712521.0084033615
Arancel,1985,90415.0,Arancel,Actividad externa,Otros,2.38,3798949.579831933
Por clasificar,1985,0.0,Por clasificar,Por clasificar,Otros,2.38,0.0
Renta cuotas,1986,124243.0,Renta,Actividad interna,Renta,2.88,4313993.055555556
Retención en la fuente a título de renta,1986,98358.0,Renta,Actividad interna,Renta,2.88,3415208.3333333335
Declaraciones IVA,1986,126040.0,IVA,Actividad interna,IVA,2.88,4376388.888888889
Retención en la fuente a título de IVA,1986,0.0,IVA,Actividad interna,IVA,2.88,0.0
Timbre nacional,1986,24926.0,Timbre nacional,Actividad interna,Otros,2.88,865486.1111111111
G.M.F.,1986,0.0,G.M.F.,Actividad interna,Otros,2.88,0.0
Patrimonio,1986,0.0,Patrimonio,Actividad interna,Otros,2.88,0.0
Riqueza,1986,0.0,Riqueza,Actividad interna,Otros,2.88,0.0
Impuesto al consumo,1986,0.0,Impuesto al consumo,Actividad interna,Otros,2.88,0.0
Impuesto gasolina y ACPM,1986,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,2.88,0.0
Impuesto al carbono,1986,0.0,Impuesto al carbono,Actividad interna,Otros,2.88,0.0
Declaraciones CREE,1986,0.0,CREE,Actividad interna,Otros,2.88,0.0
Retención CREE,1986,0.0,CREE,Actividad interna,Otros,2.88,0.0
Impuesto unificado RST (Simple),1986,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,2.88,0.0
Impuesto de normalización tributaria,1986,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,2.88,0.0
Consumo bienes inmuebles,1986,0.0,Consumo bienes inmuebles,Actividad interna,Otros,2.88,0.0
Productos plásticos de un solo uso,1986,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,2.88,0.0
Impuestos saludables - Bebidas azucaradas,1986,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,2.88,0.0
Impuestos saludables - Comestibles ultraprocesados,1986,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,2.88,0.0
IVA_ext,1986,62743.0,IVA,Actividad externa,IVA,2.88,2178576.388888889
Arancel,1986,141638.0,Arancel,Actividad externa,Otros,2.88,4917986.111111111
Por clasificar,1986,0.0,Por clasificar,Por clasificar,Otros,2.88,0.0
Renta cuotas,1987,161770.0,Renta,Actividad interna,Renta,3.58,4518715.083798883
Retención en la fuente a título de renta,1987,156559.0,Renta,Actividad interna,Renta,3.58,4373156.424581006
Declaraciones IVA,1987,173164.0,IVA,Actividad interna,IVA,3.58,4836983.240223464
Retención en la fuente a título de IVA,1987,0.0,IVA,Actividad interna,IVA,3.58,0.0
Timbre nacional,1987,16964.0,Timbre nacional,Actividad interna,Otros,3.58,473854.748603352
G.M.F.,1987,0.0,G.M.F.,Actividad interna,Otros,3.58,0.0
Patrimonio,1987,0.0,Patrimonio,Actividad interna,Otros,3.58,0.0
Riqueza,1987,0.0,Riqueza,Actividad interna,Otros,3.58,0.0
Impuesto al consumo,1987,0.0,Impuesto al consumo,Actividad interna,Otros,3.58,0.0
Impuesto gasolina y ACPM,1987,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,3.58,0.0
Impuesto al carbono,1987,0.0,Impuesto al carbono,Actividad interna,Otros,3.58,0.0
Declaraciones CREE,1987,0.0,CREE,Actividad interna,Otros,3.58,0.0
Retención CREE,1987,0.0,CREE,Actividad interna,Otros,3.58,0.0
Impuesto unificado RST (Simple),1987,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,3.58,0.0
Impuesto de normalización tributaria,1987,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,3.58,0.0
Consumo bienes inmuebles,1987,0.0,Consumo bienes inmuebles,Actividad interna,Otros,3.58,0.0
Productos plásticos de un solo uso,1987,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,3.58,0.0
Impuestos saludables - Bebidas azucaradas,1987,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,3.58,0.0
Impuestos saludables - Comestibles ultraprocesados,1987,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,3.58,0.0
IVA_ext,1987,91559.0,IVA,Actividad externa,IVA,3.58,2557513.966480447
Arancel,1987,241266.0,Arancel,Actividad externa,Otros,3.58,6739273.74301676
Por clasificar,1987,0.0,Por clasificar,Por clasificar,Otros,3.58,0.0
Renta cuotas,1988,205014.0,Renta,Actividad interna,Renta,4.58,4476288.2096069865
Retención en la fuente a título de renta,1988,221915.0,Renta,Actividad interna,Renta,4.58,4845305.676855895
Declaraciones IVA,1988,228690.0,IVA,Actividad interna,IVA,4.58,4993231.4410480345
Retención en la fuente a título de IVA,1988,0.0,IVA,Actividad interna,IVA,4.58,0.0
Timbre nacional,1988,19077.0,Timbre nacional,Actividad interna,Otros,4.58,416528.38427947595
G.M.F.,1988,0.0,G.M.F.,Actividad interna,Otros,4.58,0.0
Patrimonio,1988,0.0,Patrimonio,Actividad interna,Otros,4.58,0.0
Riqueza,1988,0.0,Riqueza,Actividad interna,Otros,4.58,0.0
Impuesto al consumo,1988,0.0,Impuesto al consumo,Actividad interna,Otros,4.58,0.0
Impuesto gasolina y ACPM,1988,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,4.58,0.0
Impuesto al carbono,1988,0.0,Impuesto al carbono,Actividad interna,Otros,4.58,0.0
Declaraciones CREE,1988,0.0,CREE,Actividad interna,Otros,4.58,0.0
Retención CREE,1988,0.0,CREE,Actividad interna,Otros,4.58,0.0
Impuesto unificado RST (Simple),1988,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,4.58,0.0
Impuesto de normalización tributaria,1988,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,4.58,0.0
Consumo bienes inmuebles,1988,0.0,Consumo bienes inmuebles,Actividad interna,Otros,4.58,0.0
Productos plásticos de un solo uso,1988,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,4.58,0.0
Impuestos saludables - Bebidas azucaradas,1988,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,4.58,0.0
Impuestos saludables - Comestibles ultraprocesados,1988,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,4.58,0.0
IVA_ext,1988,133764.0,IVA,Actividad externa,IVA,4.58,2920611.3537117904
Arancel,1988,334655.0,Arancel,Actividad externa,Otros,4.58,7306877.729257642
Por clasificar,1988,0.0,Por clasificar,Por clasificar,Otros,4.58,0.0
Renta cuotas,1989,297145.0,Renta,Actividad interna,Renta,5.78,5140916.9550173
Retención en la fuente a título de renta,1989,289600.0,Renta,Actividad interna,Renta,5.78,5010380.62283737
Declaraciones IVA,1989,307202.0,IVA,Actividad interna,IVA,5.78,5314913.494809688
Retención en la fuente a título de IVA,1989,0.0,IVA,Actividad interna,IVA,5.78,0.0
Timbre nacional,1989,26213.0,Timbre nacional,Actividad interna,Otros,5.78,453512.1107266436
G.M.F.,1989,0.0,G.M.F.,Actividad interna,Otros,5.78,0.0
Patrimonio,1989,0.0,Patrimonio,Actividad interna,Otros,5.78,0.0
Riqueza,1989,0.0,Riqueza,Actividad interna,Otros,5.78,0.0
Impuesto al consumo,1989,0.0,Impuesto al consumo,Actividad interna,Otros,5.78,0.0
Impuesto gasolina y ACPM,1989,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,5.78,0.0
Impuesto al carbono,1989,0.0,Impuesto al carbono,Actividad interna,Otros,5.78,0.0
Declaraciones CREE,1989,0.0,CREE,Actividad interna,Otros,5.78,0.0
Retención CREE,1989,0.0,CREE,Actividad interna,Otros,5.78,0.0
Impuesto unificado RST (Simple),1989,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,5.78,0.0
Impuesto de normalización tributaria,1989,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,5.78,0.0
Consumo bienes inmuebles,1989,0.0,Consumo bienes inmuebles,Actividad interna,Otros,5.78,0.0
Productos plásticos de un solo uso,1989,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,5.78,0.0
Impuestos saludables - Bebidas azucaradas,1989,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,5.78,0.0
Impuestos saludables - Comestibles ultraprocesados,1989,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,5.78,0.0
IVA_ext,1989,161477.0,IVA,Actividad externa,IVA,5.78,2793719.7231833907
Arancel,1989,400102.0,Arancel,Actividad externa,Otros,5.78,6922179.930795847
Por clasificar,1989,0.0,Por clasificar,Por clasificar,Otros,5.78,0.0
Renta cuotas,1990,433768.0,Renta,Actividad interna,Renta,7.65,5670169.934640523
Retención en la fuente a título de renta,1990,388745.0,Renta,Actividad interna,Renta,7.65,5081633.986928104
Declaraciones IVA,1990,411482.0,IVA,Actividad interna,IVA,7.65,5378849.673202614
Retención en la fuente a título de IVA,1990,0.0,IVA,Actividad interna,IVA,7.65,0.0
Timbre nacional,1990,33789.0,Timbre nacional,Actividad interna,Otros,7.65,441686.2745098039
G.M.F.,1990,0.0,G.M.F.,Actividad interna,Otros,7.65,0.0
Patrimonio,1990,0.0,Patrimonio,Actividad interna,Otros,7.65,0.0
Riqueza,1990,0.0,Riqueza,Actividad interna,Otros,7.65,0.0
Impuesto al consumo,1990,0.0,Impuesto al consumo,Actividad interna,Otros,7.65,0.0
Impuesto gasolina y ACPM,1990,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,7.65,0.0
Impuesto al carbono,1990,0.0,Impuesto al carbono,Actividad interna,Otros,7.65,0.0
Declaraciones CREE,1990,0.0,CREE,Actividad interna,Otros,7.65,0.0
Retención CREE,1990,0.0,CREE,Actividad interna,Otros,7.65,0.0
Impuesto unificado RST (Simple),1990,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,7.65,0.0
Impuesto de normalización tributaria,1990,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,7.65,0.0
Consumo bienes inmuebles,1990,0.0,Consumo bienes inmuebles,Actividad interna,Otros,7.65,0.0
Productos plásticos de un solo uso,1990,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,7.65,0.0
Impuestos saludables - Bebidas azucaradas,1990,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,7.65,0.0
Impuestos saludables - Comestibles ultraprocesados,1990,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,7.65,0.0
IVA_ext,1990,212470.0,IVA,Actividad externa,IVA,7.65,2777385.620915033
Arancel,1990,492678.0,Arancel,Actividad externa,Otros,7.65,6440235.294117647
Por clasificar,1990,0.0,Por clasificar,Por clasificar,Otros,7.65,0.0
Renta cuotas,1991,778766.0,Renta,Actividad interna,Renta,9.7,8028515.463917526
Retención en la fuente a título de renta,1991,630994.0,Renta,Actividad interna,Renta,9.7,6505092.783505156
Declaraciones IVA,1991,628340.0,IVA,Actividad interna,IVA,9.7,6477731.958762887
Retención en la fuente a título de IVA,1991,0.0,IVA,Actividad interna,IVA,9.7,0.0
Timbre nacional,1991,40831.0,Timbre nacional,Actividad interna,Otros,9.7,420938.14432989695
G.M.F.,1991,0.0,G.M.F.,Actividad interna,Otros,9.7,0.0
Patrimonio,1991,0.0,Patrimonio,Actividad interna,Otros,9.7,0.0
Riqueza,1991,0.0,Riqueza,Actividad interna,Otros,9.7,0.0
Impuesto al consumo,1991,0.0,Impuesto al consumo,Actividad interna,Otros,9.7,0.0
Impuesto gasolina y ACPM,1991,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,9.7,0.0
Impuesto al carbono,1991,0.0,Impuesto al carbono,Actividad interna,Otros,9.7,0.0
Declaraciones CREE,1991,0.0,CREE,Actividad interna,Otros,9.7,0.0
Retención CREE,1991,0.0,CREE,Actividad interna,Otros,9.7,0.0
Impuesto unificado RST (Simple),1991,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,9.7,0.0
Impuesto de normalización tributaria,1991,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,9.7,0.0
Consumo bienes inmuebles,1991,0.0,Consumo bienes inmuebles,Actividad interna,Otros,9.7,0.0
Productos plásticos de un solo uso,1991,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,9.7,0.0
Impuestos saludables - Bebidas azucaradas,1991,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,9.7,0.0
Impuestos saludables - Comestibles ultraprocesados,1991,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,9.7,0.0
IVA_ext,1991,275308.0,IVA,Actividad externa,IVA,9.7,2838226.804123712
Arancel,1991,418231.0,Arancel,Actividad externa,Otros,9.7,4311659.793814434
Por clasificar,1991,0.0,Por clasificar,Por clasificar,Otros,9.7,0.0
Renta cuotas,1992,745607.0,Renta,Actividad interna,Renta,12.14,6141738.056013179
Retención en la fuente a título de renta,1992,1100714.0,Renta,Actividad interna,Renta,12.14,9066836.902800659
Declaraciones IVA,1992,894653.0,IVA,Actividad interna,IVA,12.14,7369464.579901152
Retención en la fuente a título de IVA,1992,0.0,IVA,Actividad interna,IVA,12.14,0.0
Timbre nacional,1992,55565.0,Timbre nacional,Actividad interna,Otros,12.14,457701.81219110376
G.M.F.,1992,0.0,G.M.F.,Actividad interna,Otros,12.14,0.0
Patrimonio,1992,0.0,Patrimonio,Actividad interna,Otros,12.14,0.0
Riqueza,1992,0.0,Riqueza,Actividad interna,Otros,12.14,0.0
Impuesto al consumo,1992,0.0,Impuesto al consumo,Actividad interna,Otros,12.14,0.0
Impuesto gasolina y ACPM,1992,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,12.14,0.0
Impuesto al carbono,1992,0.0,Impuesto al carbono,Actividad interna,Otros,12.14,0.0
Declaraciones CREE,1992,0.0,CREE,Actividad interna,Otros,12.14,0.0
Retención CREE,1992,0.0,CREE,Actividad interna,Otros,12.14,0.0
Impuesto unificado RST (Simple),1992,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,12.14,0.0
Impuesto de normalización tributaria,1992,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,12.14,0.0
Consumo bienes inmuebles,1992,0.0,Consumo bienes inmuebles,Actividad interna,Otros,12.14,0.0
Productos plásticos de un solo uso,1992,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,12.14,0.0
Impuestos saludables - Bebidas azucaradas,1992,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,12.14,0.0
Impuestos saludables - Comestibles ultraprocesados,1992,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,12.14,0.0
IVA_ext,1992,460017.0,IVA,Actividad externa,IVA,12.14,3789266.8863261943
Arancel,1992,337007.0,Arancel,Actividad externa,Otros,12.14,2776004.9423393738
Por clasificar,1992,0.0,Por clasificar,Por clasificar,Otros,12.14,0.0
Renta cuotas,1993,812946.0,Renta,Actividad interna,Renta,14.89,5459677.635997313
Retención en la fuente a título de renta,1993,1505436.0,Renta,Actividad interna,Renta,14.89,10110382.80725319
Declaraciones IVA,1993,1359344.0,IVA,Actividad interna,IVA,14.89,9129241.101410342
Retención en la fuente a título de IVA,1993,0.0,IVA,Actividad interna,IVA,14.89,0.0
Timbre nacional,1993,15494.0,Timbre nacional,Actividad interna,Otros,14.89,104056.4137004701
G.M.F.,1993,0.0,G.M.F.,Actividad interna,Otros,14.89,0.0
Patrimonio,1993,0.0,Patrimonio,Actividad interna,Otros,14.89,0.0
Riqueza,1993,0.0,Riqueza,Actividad interna,Otros,14.89,0.0
Impuesto al consumo,1993,0.0,Impuesto al consumo,Actividad interna,Otros,14.89,0.0
Impuesto gasolina y ACPM,1993,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,14.89,0.0
Impuesto al carbono,1993,0.0,Impuesto al carbono,Actividad interna,Otros,14.89,0.0
Declaraciones CREE,1993,0.0,CREE,Actividad interna,Otros,14.89,0.0
Retención CREE,1993,0.0,CREE,Actividad interna,Otros,14.89,0.0
Impuesto unificado RST (Simple),1993,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,14.89,0.0
Impuesto de normalización tributaria,1993,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,14.89,0.0
Consumo bienes inmuebles,1993,0.0,Consumo bienes inmuebles,Actividad interna,Otros,14.89,0.0
Productos plásticos de un solo uso,1993,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,14.89,0.0
Impuestos saludables - Bebidas azucaradas,1993,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,14.89,0.0
Impuestos saludables - Comestibles ultraprocesados,1993,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,14.89,0.0
IVA_ext,1993,901757.0,IVA,Actividad externa,IVA,14.89,6056124.91605104
Arancel,1993,545489.0,Arancel,Actividad externa,Otros,14.89,3663458.6971121556
Por clasificar,1993,0.0,Por clasificar,Por clasificar,Otros,14.89,0.0
Renta cuotas,1994,1035281.0,Renta,Actividad interna,Renta,18.25,5672772.602739726
Retención en la fuente a título de renta,1994,1775169.0,Renta,Actividad interna,Renta,18.25,9726953.424657535
Declaraciones IVA,1994,1801397.0,IVA,Actividad interna,IVA,18.25,9870668.493150685
Retención en la fuente a título de IVA,1994,0.0,IVA,Actividad interna,IVA,18.25,0.0
Timbre nacional,1994,86477.0,Timbre nacional,Actividad interna,Otros,18.25,473846.5753424658
G.M.F.,1994,0.0,G.M.F.,Actividad interna,Otros,18.25,0.0
Patrimonio,1994,0.0,Patrimonio,Actividad interna,Otros,18.25,0.0
Riqueza,1994,0.0,Riqueza,Actividad interna,Otros,18.25,0.0
Impuesto al consumo,1994,0.0,Impuesto al consumo,Actividad interna,Otros,18.25,0.0
Impuesto gasolina y ACPM,1994,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,18.25,0.0
Impuesto al carbono,1994,0.0,Impuesto al carbono,Actividad interna,Otros,18.25,0.0
Declaraciones CREE,1994,0.0,CREE,Actividad interna,Otros,18.25,0.0
Retención CREE,1994,0.0,CREE,Actividad interna,Otros,18.25,0.0
Impuesto unificado RST (Simple),1994,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,18.25,0.0
Impuesto de normalización tributaria,1994,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,18.25,0.0
Consumo bienes inmuebles,1994,0.0,Consumo bienes inmuebles,Actividad interna,Otros,18.25,0.0
Productos plásticos de un solo uso,1994,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,18.25,0.0
Impuestos saludables - Bebidas azucaradas,1994,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,18.25,0.0
Impuestos saludables - Comestibles ultraprocesados,1994,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,18.25,0.0
IVA_ext,1994,1142775.0,IVA,Actividad externa,IVA,18.25,6261780.821917809
Arancel,1994,733360.0,Arancel,Actividad externa,Otros,18.25,4018410.95890411
Por clasificar,1994,11292.0,Por clasificar,Por clasificar,Otros,18.25,61873.97260273973
Renta cuotas,1995,1149129.0,Renta,Actividad interna,Renta,21.8,5271233.944954128
Retención en la fuente a título de renta,1995,2334430.0,Renta,Actividad interna,Renta,21.8,10708394.495412843
Declaraciones IVA,1995,2218156.0,IVA,Actividad interna,IVA,21.8,10175027.52293578
Retención en la fuente a título de IVA,1995,0.0,IVA,Actividad interna,IVA,21.8,0.0
Timbre nacional,1995,129584.0,Timbre nacional,Actividad interna,Otros,21.8,594422.0183486239
G.M.F.,1995,0.0,G.M.F.,Actividad interna,Otros,21.8,0.0
Patrimonio,1995,0.0,Patrimonio,Actividad interna,Otros,21.8,0.0
Riqueza,1995,0.0,Riqueza,Actividad interna,Otros,21.8,0.0
Impuesto al consumo,1995,0.0,Impuesto al consumo,Actividad interna,Otros,21.8,0.0
Impuesto gasolina y ACPM,1995,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,21.8,0.0
Impuesto al carbono,1995,0.0,Impuesto al carbono,Actividad interna,Otros,21.8,0.0
Declaraciones CREE,1995,0.0,CREE,Actividad interna,Otros,21.8,0.0
Retención CREE,1995,0.0,CREE,Actividad interna,Otros,21.8,0.0
Impuesto unificado RST (Simple),1995,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,21.8,0.0
Impuesto de normalización tributaria,1995,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,21.8,0.0
Consumo bienes inmuebles,1995,0.0,Consumo bienes inmuebles,Actividad interna,Otros,21.8,0.0
Productos plásticos de un solo uso,1995,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,21.8,0.0
Impuestos saludables - Bebidas azucaradas,1995,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,21.8,0.0
Impuestos saludables - Comestibles ultraprocesados,1995,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,21.8,0.0
IVA_ext,1995,1436018.0,IVA,Actividad externa,IVA,21.8,6587238.532110091
Arancel,1995,876066.0,Arancel,Actividad externa,Otros,21.8,4018651.376146789
Por clasificar,1995,16146.0,Por clasificar,Por clasificar,Otros,21.8,74064.22018348624
Renta cuotas,1996,1292721.0,Renta,Actividad interna,Renta,26.52,4874513.574660634
Retención en la fuente a título de renta,1996,2753982.0,Renta,Actividad interna,Renta,26.52,10384547.511312218
Declaraciones IVA,1996,2888624.0,IVA,Actividad interna,IVA,26.52,10892247.360482655
Retención en la fuente a título de IVA,1996,523913.0,IVA,Actividad interna,IVA,26.52,1975539.2156862745
Timbre nacional,1996,148854.0,Timbre nacional,Actividad interna,Otros,26.52,561289.592760181
G.M.F.,1996,0.0,G.M.F.,Actividad interna,Otros,26.52,0.0
Patrimonio,1996,0.0,Patrimonio,Actividad interna,Otros,26.52,0.0
Riqueza,1996,0.0,Riqueza,Actividad interna,Otros,26.52,0.0
Impuesto al consumo,1996,0.0,Impuesto al consumo,Actividad interna,Otros,26.52,0.0
Impuesto gasolina y ACPM,1996,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,26.52,0.0
Impuesto al carbono,1996,0.0,Impuesto al carbono,Actividad interna,Otros,26.52,0.0
Declaraciones CREE,1996,0.0,CREE,Actividad interna,Otros,26.52,0.0
Retención CREE,1996,0.0,CREE,Actividad interna,Otros,26.52,0.0
